year,applicant,amount_requested,amount_granted,amount_given,visitors
2017,Stichting Nationale Opera & Ballet,11343760.0,11343760.0,11343760.0,234.0
2018,Stichting Nationale Opera & Ballet,11527664.0,11527664.0,11527664.0,237.0
2019,Stichting Nationale Opera & Ballet,11824739.0,11824739.0,0.0,260.0
2020,Stichting Nationale Opera & Ballet,12081162.0,12056162.0,0.0,
2016,Stichting stedelijk museum Amsterdam,20000.0,0.0,0.0,655.0
2017,Stichting stedelijk museum Amsterdam,12204845.0,12204845.0,12204845.0,692.0
2018,Stichting stedelijk museum Amsterdam,12397349.0,12397349.0,12397349.0,704.0
2019,Stichting stedelijk museum Amsterdam,12716854.0,12716854.0,0.0,667.0
2020,Stichting stedelijk museum Amsterdam,13671453.0,13671453.0,0.0,
2016,stichting Amsterdam Museum,10000.0,10000.0,10000.0,413.0
2017,stichting Amsterdam Museum,8332412.0,8332412.0,8332412.0,370.0
2018,stichting Amsterdam Museum,8291331.0,8291331.0,8291331.0,499.0
2019,stichting Amsterdam Museum,8498358.0,8498358.0,12500.0,791.0
2020,stichting Amsterdam Museum,9501523.0,9501523.0,0.0,
